id;SCN_CT;SCN_QT;SCN_H_2000;SCN_H_3000;SCN_FP;SCN_HPA;SCN_CG;SCB_H_4000;CN_CAP_CT;CN_CAP_QT;CN_CAP_H_2000;CN_CAP_H_3000;CN_CAP_FP;CN_CAP_HPA;CN_CAP_CG;CN_CAP_H_4000;CN_PROD_CT;CN_PROD_QT;CN_PROD_H_2000;CN_PROD_H_3000;CN_PROD_FP;CN_PROD_HPA;CN_PROD_CG;CN_PROD_H_4000;ETS_COST_CT;ETS_COST_QT;ETS_COST_H_2000;ETS_COST_H_3000;ETS_COST_FP;ETS_COST_HPA;ETS_COST_CG;EST_COST_H_4000;NET_COST_CT;NET_COST_QT;NET_COST_H_2000;NET_COST_H_3000;NET_COST_FP;NET_COST_HPA;NET_COST_CG;NET_COST_H_4000;PS_COST_CT;PS_COST_QT;PS_COST_H_2000;PS_COST_H_3000;PS_COST_FP;PS_COST_HPA;PS_COST_CG;PS_COST_H_4000;H2S_COST_CT;H2S_COST_QT;H2S_COST_H_2000;H2S_COST_H_3000;H2S_COST_FP;H2S_COST_HPA;H2S_COST_CG;H2S_COST_H_4000;INDS_COST_CT;INDS_COST_QT;INDS_COST_H_2000;INDS_COST_H_3000;INDS_COST_FP;INDS_COST_HPA;INDS_COST_CG;INDS_COST_H_4000
28;29;79;129;279;179;229;329;379;139.9587346;91.82192462;105.585633;97.2614282;91.73861058;91.78787043;-1000;-1000;10.51496769;11.19999355;11.19847622;11.19980082;11.20005863;11.1999277;-1000;-1000;-1710.38556;-9669.146896;-8033.609243;-8209.963119;-2270.710684;-2444.291559;-1000;-1000;61244.784;35108.23531;41099.24053;36557.74007;66370.1664;35698.46693;-1000;-1000;8431.4;4882;5967.96;5734.1;5295.68;5251.96;-1000;-1000;13326.08;2193.79;3727.77;1844.96;2263.46;2267.03;-1000;-1000;-1236.95;-1486.98;-1828.94;-1899.79;-1983.1;-1979.37;-1000;-1000
29;30;80;130;280;180;230;330;380;144.9645289;94.76827831;109.3912806;100.7584829;94.77423985;94.70727702;-1000;-1000;10.54372053;11.59998621;11.60210552;11.59998157;11.60023192;11.59934681;-1000;-1000;-1676.655678;-10589.44436;-9397.059426;-9840.008947;-3451.530388;-3262.983339;-1000;-1000;66023.31606;40722.08596;46892.76165;44759.07045;80102.66787;45467.13271;-1000;-1000;9247.64;6393.16;8216.58;7667.5;6769.85;6358.67;-1000;-1000;14665.03;2587.05;4141.96;1993.79;2693.9;2680.59;-1000;-1000;-1230.54;-1759.43;-2013;-2111.43;-2269.05;-2268.6;-1000;-1000
30;31;81;131;281;181;231;331;381;149.9712725;99.03730255;113.1299692;104.2322757;99.01845679;99.03812812;-1000;-1000;10.62100292;11.9997353;11.9986331;11.99980803;11.99979614;11.99975562;-1000;-1000;-2379.265252;-9262.468153;-8576.283093;-10703.4469;-2422.297062;-2610.866394;-1000;-1000;71908.34904;53369.18369;53868.94038;50535.13026;112408.5504;69925.2565;-1000;-1000;11101.73;7786.2;10066.53;11226.66;7613.5;7692.88;-1000;-1000;15999.03;2677;4568.89;2237.49;2790.54;2758.38;-1000;-1000;-1358.4;-1719.01;-2027.29;-2404.03;-2262.95;-2251.62;-1000;-1000
31;32;82;132;282;182;232;332;382;154.9686756;103.3661707;116.906134;107.7132323;103.217744;103.241729;-1000;-1000;10.66287997;12.39996499;12.39913542;12.398646;12.40013125;12.39994906;-1000;-1000;-1919.239048;-9763.76882;-8684.64741;-10367.82632;-3175.758981;-3272.085747;-1000;-1000;76328.79445;61532.7092;62083.32257;60113.25035;134281.3742;85161.89385;-1000;-1000;10800.86;9945.43;11966.7;13436.59;10029.38;9913.45;-1000;-1000;17361.26;3020.98;5049.23;2578.38;3071.95;3073.97;-1000;-1000;-1276.52;-1920.67;-2148.01;-2518.83;-2501.05;-2483.03;-1000;-1000
32;33;83;133;283;183;233;333;383;159.9693171;107.6240864;120.6846646;111.1997915;107.4998517;107.4366919;-1000;-1000;10.69954559;12.79998383;12.79988867;12.79828621;12.80027253;12.79983143;-1000;-1000;-2520.739891;-10651.1347;-9977.619958;-9194.338686;-4768.945677;-4782.41642;-1000;-1000;81436.4002;70972.43802;70880.33011;70467.02086;155717.5262;101926.706;-1000;-1000;12062.82;11802.94;13897.31;14375.78;13766.06;13553.35;-1000;-1000;18694.45;3573.2;5522.55;3351.21;3597.5;3606.84;-1000;-1000;-1194.88;-2208.09;-2324.84;-2525.99;-2781.74;-2782.48;-1000;-1000
33;34;84;134;284;184;234;334;384;164.9711173;112.4009022;124.4318288;114.6856415;112.4439811;112.3821956;-1000;-1000;10.73525682;13.20000004;13.19731517;13.19764021;13.19989328;13.19978713;-1000;-1000;-2145.429531;-11380.14124;-9929.510292;-10805.39005;-4851.659827;-4937.712031;-1000;-1000;86326.32957;84739.01531;84096.99852;82143.06389;186823.3305;126033.9184;-1000;-1000;13271.2;14685.13;15603.11;17325.04;16817.69;16881.73;-1000;-1000;20114.59;4102.17;6490.25;4101.32;4113.3;4134.55;-1000;-1000;-1125.2;-2392.29;-2412.5;-2955.88;-2923.44;-2932.05;-1000;-1000
34;35;85;135;285;185;235;335;385;169.9616656;116.2497165;128.2251182;119.1212135;116.2230989;116.1394517;-1000;-1000;10.7848175;13.59999552;13.59963374;13.59488506;13.59994086;13.59881798;-1000;-1000;-2257.312257;-11691.1782;-11099.67145;-12050.10712;-5135.074109;-5142.691215;-1000;-1000;91426.98639;97057.36411;97329.36401;97831.73124;216788.337;149663.0843;-1000;-1000;14324.55;16750.51;17972.38;17544.8;17962.17;18054.72;-1000;-1000;21503.12;5174.02;7509.77;5379.97;5212.42;5169.99;-1000;-1000;-1118.73;-2578.93;-2767.57;-3242.23;-3144.3;-3138.36;-1000;-1000
35;36;86;136;286;186;236;336;386;174.96333;119.2440416;131.9992441;122.5843698;119.2783641;119.1939116;-1000;-1000;10.81272781;13.99998071;13.99991983;13.99996219;13.9999738;13.99911077;-1000;-1000;-2075.306851;-11771.77397;-13316.7995;-12985.45972;-4863.340677;-4982.408095;-1000;-1000;95921.8236;109402.7614;110615.7739;114644.8234;245667.7543;172440.466;-1000;-1000;15697.74;17541.74;18141.22;19057.06;18974.05;19162.46;-1000;-1000;23002.7;6140.93;8738.4;6572.19;6186.4;6110.82;-1000;-1000;-1079.97;-2697.97;-3251.29;-3355.33;-3257.72;-3255.82;-1000;-1000
36;37;87;137;287;187;237;337;387;179.9628196;123.7618826;135.8164368;126.3204582;123.8040964;123.8001756;-1000;-1000;10.85388013;14.39997456;14.39996537;14.39904596;14.39994056;14.39960033;-1000;-1000;-2028.57293;-11187.77708;-12995.38829;-12524.61955;-4358.651626;-4202.200577;-1000;-1000;101528.5824;123789.0387;127287.37;126076.3793;280925.9611;200342.6394;-1000;-1000;17566.51;19445.68;18857.96;19486.43;20468.88;20460.1;-1000;-1000;24519.43;7230.91;9877.15;7491.07;7253.28;7284.08;-1000;-1000;-1082.35;-2775.1;-3389.36;-3457.79;-3337.58;-3299.32;-1000;-1000
37;38;88;138;288;188;238;338;388;184.967837;129.7094047;139.5932098;131.5866295;129.6923407;129.7036922;-1000;-1000;10.87390348;14.7999951;14.7999;14.79951362;14.79980087;14.8010181;-1000;-1000;-2050.767305;-10102.6487;-13913.68347;-11377.46042;-3654.9024;-3608.849095;-1000;-1000;107486.1863;139261.7158;141790.7603;138730.2464;318921.2718;231024.2458;-1000;-1000;19793.93;21341.76;21364.58;22031.39;22453.73;22606.91;-1000;-1000;26091.49;9027.57;10874.5;9362.79;9024.52;9064.84;-1000;-1000;-1086.05;-2851.9;-3621.88;-3473.79;-3366.32;-3364.76;-1000;-1000
38;39;89;139;289;189;239;339;389;189.9720196;134.2632013;143.3492212;137.9707111;134.3167786;134.2953549;-1000;-1000;10.88449076;15.19996233;15.19994369;15.1995621;15.20102965;15.20222379;-1000;-1000;-2435.648578;-9005.426411;-13362.38647;-11014.56986;-3028.818944;-3118.829405;-1000;-1000;114162.4362;152203.4818;152832.8943;155899.697;352800.8054;257844.2225;-1000;-1000;20445.27;23488.58;22021.36;23726.33;24933.72;25022.04;-1000;-1000;27851.47;10502.98;12112.8;11392.79;10477.89;10477.75;-1000;-1000;-1117.1;-2899.25;-3683.17;-3547.89;-3443.77;-3439.66;-1000;-1000
39;40;90;140;290;190;240;340;390;194.9776981;138.8720381;147.1356829;142.8907538;138.950562;138.8938018;-1000;-1000;10.88571462;15.59997592;15.60021372;15.59874862;15.59913155;15.60020606;-1000;-1000;-2403.350233;-7122.997547;-10832.75195;-6838.80937;-2201.420583;-2157.46251;-1000;-1000;120986.1349;164268.5948;171192.0316;165850.9031;384963.1959;283518.4964;-1000;-1000;21010.8;25938.2;25705.85;25649.73;27783.54;27395.43;-1000;-1000;29677.12;11710.53;12775.81;12629.13;11909.5;11878.23;-1000;-1000;-1086.96;-2784.94;-3336.06;-3060.93;-3408.43;-3408.07;-1000;-1000
40;41;91;141;291;191;241;341;391;199.9788304;144.1590227;150.9228733;145.9447171;144.1195602;144.0850823;-1000;-1000;10.88221502;16.00008457;15.99802812;15.99931963;16.00125866;15.99859019;-1000;-1000;-1532.902946;-4510.277859;-7210.77081;-4466.091498;203.6068575;-7.891687131;-1000;-1000;127305.7182;178345.2391;191503.1358;183417.4266;420615.7321;310079.2422;-1000;-1000;21196.08;27660.97;30070.5;28749.11;30018.94;30160.36;-1000;-1000;31500.31;12601.33;13230.58;12958.19;12704.62;12666.75;-1000;-1000;-940.4;-2508.73;-2850.33;-2745.68;-3110.75;-3136.4;-1000;-1000
41;42;92;142;292;192;242;342;392;204.9714258;148.3031036;154.6941525;149.7809301;148.2364756;148.2091763;-1000;-1000;10.86589855;16.39999849;16.40014685;16.39986572;16.39792904;16.3986623;-1000;-1000;-1069.962949;-1728.80732;-4234.250921;-2166.410926;2845.559848;2874.705042;-1000;-1000;134308.665;201359.4672;204756.8612;204121.2771;473572.8069;347890.2584;-1000;-1000;21583.89;30902.34;33849.86;33694.44;32937.77;32945.82;-1000;-1000;33294.66;13051.75;13731.86;13303.16;13096.35;13106.29;-1000;-1000;-849.3;-2155.01;-2455.49;-2477.98;-2729.09;-2718.79;-1000;-1000
42;43;93;143;293;193;243;343;393;209.9753405;152.9260718;158.4543403;155.9682571;152.8589261;152.870945;-1000;-1000;10.86669093;16.79999786;16.80000323;16.80002442;16.79785414;16.79883178;-1000;-1000;-1271.040638;205.4068672;-757.4610137;1883.986926;4295.021831;4441.814596;-1000;-1000;141852.2506;218733.3373;226440.9962;223886.6591;517922.4222;380060.9639;-1000;-1000;22106.72;36093.14;36723.62;35485.21;37605.09;37693.09;-1000;-1000;35158.53;13884.62;14756.65;14827.21;13874.26;13941.3;-1000;-1000;-843.45;-1928.52;-2027.12;-1830.52;-2471.37;-2457.85;-1000;-1000
43;44;94;144;294;194;244;344;394;214.9693404;156.0224994;162.2471312;158.9315856;156.0009708;156.0586628;-1000;-1000;10.86472788;17.19999818;17.20004819;17.19997199;17.19645293;17.19807049;-1000;-1000;-761.3612039;4988.790415;1134.289924;3709.203347;8902.951043;8975.265386;-1000;-1000;148722.2092;242812.2208;254163.9634;250754.1977;577052.079;421912.2904;-1000;-1000;22499.46;39794.71;39298.15;39408.5;41579.43;41670.75;-1000;-1000;37038.23;14733.51;16336.38;15920.3;14690;14741.21;-1000;-1000;-755.48;-1395.53;-1771.3;-1624.53;-1813.36;-1812.2;-1000;-1000
44;45;95;145;295;195;245;345;395;219.9743892;160.7666125;166.022198;162.3982022;160.6711117;160.6349834;-1000;-1000;10.86805137;17.60000188;17.60010764;17.59994406;17.59841097;17.599492;-1000;-1000;-685.432824;9629.14371;6256.05992;8090.1631;12929.27709;12935.08182;-1000;-1000;156021.4208;264397.568;274673.7772;270243.5277;631078.9041;462215.762;-1000;-1000;22685.09;43600.03;42244.09;42894.99;45052.7;44832.05;-1000;-1000;39069.46;16371.53;17686.91;17170.73;16278.14;16284.53;-1000;-1000;-731.65;-847.92;-1092.41;-1049.05;-1242.14;-1226.01;-1000;-1000
45;46;96;146;296;196;246;346;396;224.9717912;165.6281707;169.7883973;167.4743377;165.580256;165.5601566;-1000;-1000;10.87328535;18.00000087;17.99964476;17.99999755;17.99616674;17.99911679;-1000;-1000;-608.3082855;14265.15483;10851.41781;14519.00596;17177.89626;17271.88863;-1000;-1000;162908.0543;290124.9724;297662.1391;294546.5991;693412.8395;510380.6335;-1000;-1000;24375.94;47074.84;45612.05;46203.78;47315.45;46890.69;-1000;-1000;41056.47;18029.99;19224.68;19085.78;17983.65;18042.37;-1000;-1000;-710.82;-200.94;-360.37;-147.25;-557.9;-536.19;-1000;-1000
46;47;97;147;297;197;247;347;397;229.9687038;170.0119334;173.9635864;172.6714387;169.7350229;169.8158214;-1000;-1000;10.87609276;18.40000069;18.39754372;18.40007271;18.3953287;18.39918697;-1000;-1000;-502.0950944;17039.48639;13905.68459;16115.86731;19348.20018;19401.22754;-1000;-1000;169297.2717;314692.3908;320718.5632;316899.0649;751556.8248;554267.5902;-1000;-1000;26857.4;51404.99;48368.67;50663.95;49779.2;49505.95;-1000;-1000;43069.89;19540.29;20845.62;21010.73;19416.73;19523.41;-1000;-1000;-685.27;163.21;65.92;111.88;-181.82;-167.91;-1000;-1000
47;48;98;148;298;198;248;348;398;234.9676819;174.7555308;178.3856745;177.2814957;174.7662591;174.7422674;-1000;-1000;10.88814504;18.79999964;18.79824049;18.79994967;18.79170337;18.7973371;-1000;-1000;-546.0745352;20185.28599;15791.15314;18448.9405;21130.26593;21644.49111;-1000;-1000;175553.8161;348390.9213;355909.4224;352055.2185;823315.1208;612955.8623;-1000;-1000;27164.66;54609.14;53060.4;53836.39;53534.26;53253.01;-1000;-1000;45075.27;21312.72;22763.12;22963.95;20972.06;21264.86;-1000;-1000;-678.99;464.23;286.23;336.42;90.41;163.52;-1000;-1000
48;49;99;149;299;199;249;349;399;239.955845;179.8501365;183.8369667;182.3555444;179.5599022;179.7231894;-1000;-1000;10.88362873;19.20000129;19.1971213;19.20006146;19.19743286;19.20147603;-1000;-1000;42.96096693;21979.25227;16907.53133;19247.55606;23586.0391;23774.54816;-1000;-1000;180661.6908;375198.761;376493.7948;375546.7934;884591.9713;661190.7338;-1000;-1000;28075.57;59177.09;57826.36;59522.34;57759.24;56894.24;-1000;-1000;47020.81;23094.43;24880.15;24804.3;22997.51;23115.08;-1000;-1000;-591.42;711.6;296.73;344.07;467.84;497.59;-1000;-1000
49;50;100;150;300;200;250;350;400;244.9585867;186.2759979;188.4315169;188.0593144;186.0404727;186.0035203;-1000;-1000;10.89025998;19.59955841;19.59107042;19.59421104;19.59060493;19.59903356;-1000;-1000;246.9386351;24924.8223;17867.16214;19822.57421;26260.75709;26203.5908;-1000;-1000;187059.9936;430366.278;432506.0097;431685.3609;1002368.89;755253.6245;-1000;-1000;28923.23;64195.76;63376.46;64527.78;62714.9;62069.79;-1000;-1000;49041.72;25584.55;27016.06;27376.38;25173.75;25513.16;-1000;-1000;-550.74;1057.98;334.6;384.5;851.62;866.24;-1000;-1000
50;51;101;151;301;201;251;351;401;249.9482984;190.7698651;193.7303711;193.1983542;190.4248901;190.7133944;-1000;-1000;10.88499416;19.99243067;19.99266202;19.99545228;19.9850881;19.99611397;-1000;-1000;218.89623;19819.65308;14853.07071;16656.12397;21926.72115;22523.48798;-1000;-1000;193172.4101;551179.8235;546562.8284;543869.6889;1246557.972;944533.4222;-1000;-1000;29959.76;70972.4;69030.77;69631.28;69004.17;68654.58;-1000;-1000;51022.92;27448.77;29711.23;29402.59;27162.83;27506.67;-1000;-1000;-548.06;552.18;-77.56;-73.82;258.15;332.41;-1000;-1000
